,timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses
0,01-02-2020 00:00,-0.012,7.358,9.34,-0.024,9.358,53.6,0.04,1,0,1,1,0,1,1,1
10,01-02-2020 00:00,-0.014,9.348,9.332,-0.022,9.348,53.675,0.04,1,0,1,1,0,1,1,1
20,01-02-2020 00:00,-0.012,9.338,9.322,-0.022,9.338,53.6,0.0425,1,0,1,1,0,1,1,1
30,01-02-2020 00:00,-0.012,8.328,9.312,-0.022,9.328,53.425,0.04,1,0,1,1,0,1,1,1
40,01-02-2020 00:00,-0.012,9.318,9.302,-0.022,9.318,53.475,0.04,1,0,1,1,0,1,1,1
50,01-02-2020 00:00,-0.012,9.001,9.29,-0.024,9.308,53.5,0.04,1,0,1,1,0,1,1,1
60,01-02-2020 00:00,-0.012,9.296,9.28,-0.024,9.298,53.375,0.04,1,0,1,1,0,1,1,1
70,01-02-2020 00:01,-0.014,9.286,9.27,-0.024,9.286,53.55,0.04,1,0,1,1,0,1,1,1
80,01-02-2020 00:01,-0.012,9.276,9.258,-0.022,9.276,53.425,0.04,1,0,1,1,0,1,1,1
90,01-02-2020 00:01,-0.012,9.264,9.248,-0.022,9.264,53.375,0.04,1,0,1,1,0,1,1,1
100,01-02-2020 00:01,-0.014,7.898,9.24,-0.024,9.256,53.4,0.04,1,0,1,1,0,1,1,1
110,01-02-2020 00:01,-0.012,9.246,9.228,-0.024,9.244,53.35,0.04,1,0,1,1,0,1,1,1
120,01-02-2020 00:01,-0.014,9.232,9.216,-0.024,9.232,53.425,0.04,1,0,1,1,0,1,1,1
130,01-02-2020 00:02,-0.012,8.224,9.206,-0.022,9.222,53.325,0.04,1,0,1,1,0,1,1,1
140,01-02-2020 00:02,-0.012,9.214,9.198,-0.022,9.216,53.425,0.04,1,0,1,1,0,1,1,1
150,01-02-2020 00:02,-0.014,9.204,9.188,-0.024,9.204,53.325,0.04,1,0,1,1,0,1,1,1
160,01-02-2020 00:02,-0.012,9.194,9.176,-0.022,9.194,53.325,0.04,1,0,1,1,0,1,1,1
170,01-02-2020 00:02,-0.012,9.182,9.168,-0.022,9.184,53.275,0.04,1,0,1,1,0,1,1,1
180,01-02-2020 00:02,-0.014,9.999,9.156,-0.022,9.174,53.275,0.04,1,0,1,1,0,1,1,1
190,01-02-2020 00:03,-0.012,9.162,9.146,-0.024,9.164,53.325,0.04,1,0,1,1,0,1,1,1
