Distance Matrix
 ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,
p1,0,1,1,1,0,0,1,0,1.41421,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1.41421,1,0,0,1,0,1,0,0,2,1,1,1,1.41421,1,1,1.41421,1.41421,1,1,0,1.41421,1.41421,1,1,0,1,1.41421,1,0,1.41421,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1,1,1,1,1.41421,0,1,1,1.41421,0,1,1,1,1,1,1,0,1,1.41421,1,1,1,1,2,1.41421,1,2,1.41421,2.23607,1.41421,2,1,1.41421,1,1,1,1,1,2,2.23607,1.41421,1,1,2.23607,1.41421,1,2,1.41421,1,1.41421,2,2.23607,2,1.41421,1.41421,1.41421,2,1,1,1,1,1,1,1,1,1,1,1.41421,1,1,0,
p2,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1.41421,1.41421,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1.41421,1.41421,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,3,2,2,1.41421,2.23607,1.41421,2,1,2.23607,1.41421,1.41421,1,2.23607,2.23607,1.41421,2,1,1.41421,2.23607,1.41421,1,2.23607,2.23607,2.23607,2.23607,2,2.23607,2,2.23607,1.41421,1.41421,1.41421,1.41421,2.23607,1,2,2,2.23607,1,1.41421,1.41421,2,1.41421,1.41421,1.41421,1,1.41421,2.23607,1.41421,1.41421,2,1.41421,3,2.23607,2,3,1,3.16228,2.23607,3,2,2.23607,2,1.41421,1.41421,2,2,3,3.16228,2.23607,2,1.41421,3.16228,2.23607,2,3,2.23607,2,2.23607,3,3.16228,3,2.23607,2.23607,2.23607,3,2,2,2,2,2,2,1.41421,2,2,2,2.23607,2,2,1,
p3,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1.41421,1.41421,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1.41421,1.41421,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,3,2,2,1.41421,2.23607,1.41421,2,1,2.23607,1.41421,1.41421,1,2.23607,2.23607,1.41421,2,1,1.41421,2.23607,1.41421,1,2.23607,2.23607,2.23607,2.23607,2,2.23607,2,2.23607,1.41421,1.41421,1.41421,1.41421,2.23607,1,2,2,2.23607,1,1.41421,1.41421,2,1.41421,1.41421,1.41421,1,1.41421,2.23607,1.41421,1.41421,2,1.41421,3,2.23607,2,3,1,3.16228,2.23607,3,2,2.23607,2,1.41421,1.41421,2,2,3,3.16228,2.23607,2,1.41421,3.16228,2.23607,2,3,2.23607,2,2.23607,3,3.16228,3,2.23607,2.23607,2.23607,3,2,2,2,2,2,2,1.41421,2,2,2,2.23607,2,2,1,
p4,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1.41421,1.41421,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1.41421,1.41421,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,3,2,2,1.41421,2.23607,1.41421,2,1,2.23607,1.41421,1.41421,1,2.23607,2.23607,1.41421,2,1,1.41421,2.23607,1.41421,1,2.23607,2.23607,2.23607,2.23607,2,2.23607,2,2.23607,1.41421,1.41421,1.41421,1.41421,2.23607,1,2,2,2.23607,1,1.41421,1.41421,2,1.41421,1.41421,1.41421,1,1.41421,2.23607,1.41421,1.41421,2,1.41421,3,2.23607,2,3,1,3.16228,2.23607,3,2,2.23607,2,1.41421,1.41421,2,2,3,3.16228,2.23607,2,1.41421,3.16228,2.23607,2,3,2.23607,2,2.23607,3,3.16228,3,2.23607,2.23607,2.23607,3,2,2,2,2,2,2,1.41421,2,2,2,2.23607,2,2,1,
p5,0,1,1,1,0,0,1,0,1.41421,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1.41421,1,0,0,1,0,1,0,0,2,1,1,1,1.41421,1,1,1.41421,1.41421,1,1,0,1.41421,1.41421,1,1,0,1,1.41421,1,0,1.41421,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1,1,1,1,1.41421,0,1,1,1.41421,0,1,1,1,1,1,1,0,1,1.41421,1,1,1,1,2,1.41421,1,2,1.41421,2.23607,1.41421,2,1,1.41421,1,1,1,1,1,2,2.23607,1.41421,1,1,2.23607,1.41421,1,2,1.41421,1,1.41421,2,2.23607,2,1.41421,1.41421,1.41421,2,1,1,1,1,1,1,1,1,1,1,1.41421,1,1,0,
p6,0,1,1,1,0,0,1,0,1.41421,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1.41421,1,0,0,1,0,1,0,0,2,1,1,1,1.41421,1,1,1.41421,1.41421,1,1,0,1.41421,1.41421,1,1,0,1,1.41421,1,0,1.41421,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1,1,1,1,1.41421,0,1,1,1.41421,0,1,1,1,1,1,1,0,1,1.41421,1,1,1,1,2,1.41421,1,2,1.41421,2.23607,1.41421,2,1,1.41421,1,1,1,1,1,2,2.23607,1.41421,1,1,2.23607,1.41421,1,2,1.41421,1,1.41421,2,2.23607,2,1.41421,1.41421,1.41421,2,1,1,1,1,1,1,1,1,1,1,1.41421,1,1,0,
p7,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1.41421,1.41421,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1.41421,1.41421,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,3,2,2,1.41421,2.23607,1.41421,2,1,2.23607,1.41421,1.41421,1,2.23607,2.23607,1.41421,2,1,1.41421,2.23607,1.41421,1,2.23607,2.23607,2.23607,2.23607,2,2.23607,2,2.23607,1.41421,1.41421,1.41421,1.41421,2.23607,1,2,2,2.23607,1,1.41421,1.41421,2,1.41421,1.41421,1.41421,1,1.41421,2.23607,1.41421,1.41421,2,1.41421,3,2.23607,2,3,1,3.16228,2.23607,3,2,2.23607,2,1.41421,1.41421,2,2,3,3.16228,2.23607,2,1.41421,3.16228,2.23607,2,3,2.23607,2,2.23607,3,3.16228,3,2.23607,2.23607,2.23607,3,2,2,2,2,2,2,1.41421,2,2,2,2.23607,2,2,1,
p8,0,1,1,1,0,0,1,0,1.41421,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1.41421,1,0,0,1,0,1,0,0,2,1,1,1,1.41421,1,1,1.41421,1.41421,1,1,0,1.41421,1.41421,1,1,0,1,1.41421,1,0,1.41421,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1,1,1,1,1.41421,0,1,1,1.41421,0,1,1,1,1,1,1,0,1,1.41421,1,1,1,1,2,1.41421,1,2,1.41421,2.23607,1.41421,2,1,1.41421,1,1,1,1,1,2,2.23607,1.41421,1,1,2.23607,1.41421,1,2,1.41421,1,1.41421,2,2.23607,2,1.41421,1.41421,1.41421,2,1,1,1,1,1,1,1,1,1,1,1.41421,1,1,0,
p9,1.41421,1,1,1,1.41421,1.41421,1,1.41421,0,1,1.41421,1,1,1,2.23607,2.23607,1.41421,1.41421,1.41421,1.41421,1.41421,1.41421,1,1.41421,1,1.41421,1.41421,1.41421,1.41421,1,1,1.41421,2.23607,2.23607,1,1.41421,1.41421,1,1,1.41421,1.41421,0,1,1.41421,1.41421,1,1.41421,1,1.41421,1.41421,3.16228,2.23607,2.23607,1,2,1,2.23607,0,2,1,1,1.41421,2,2,1,2.23607,1.41421,1,2,1,1.41421,2,2,2,2,2.23607,2,2.23607,2,1,1,1,1,2,1.41421,2.23607,2.23607,2,1.41421,1,1,2.23607,1,1,1,1.41421,1,2,1,1,2.23607,1,3.16228,2,2.23607,3.16228,0,3,2,3.16228,2.23607,2,2.23607,1,1,2.23607,2.23607,3.16228,3,2,2.23607,1,3,2,2.23607,3.16228,2,2.23607,2,3.16228,3,3.16228,2,2,2,3.16228,2.23607,2.23607,2.23607,2.23607,2.23607,2.23607,1,2.23607,2.23607,2.23607,2,2.23607,2.23607,1.41421,
p10,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1.41421,1.41421,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1.41421,1.41421,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,3,2,2,1.41421,2.23607,1.41421,2,1,2.23607,1.41421,1.41421,1,2.23607,2.23607,1.41421,2,1,1.41421,2.23607,1.41421,1,2.23607,2.23607,2.23607,2.23607,2,2.23607,2,2.23607,1.41421,1.41421,1.41421,1.41421,2.23607,1,2,2,2.23607,1,1.41421,1.41421,2,1.41421,1.41421,1.41421,1,1.41421,2.23607,1.41421,1.41421,2,1.41421,3,2.23607,2,3,1,3.16228,2.23607,3,2,2.23607,2,1.41421,1.41421,2,2,3,3.16228,2.23607,2,1.41421,3.16228,2.23607,2,3,2.23607,2,2.23607,3,3.16228,3,2.23607,2.23607,2.23607,3,2,2,2,2,2,2,1.41421,2,2,2,2.23607,2,2,1,
